entry_id,audio_index,label,response,sampling_method,vsv_enabled,vsv_lambda
19683,YROootH-mtEI,No,No,random,True,0.25
11530,Y9xoYx3lTJ9I,No,Yes,random,True,0.25
12673,Y3n05BjV7r7M,Yes,Yes,random,True,0.25
26317,Ym8wV38lf2jg,No,Yes,adversarial,True,0.25
24570,YQRtuOWWya30,Yes,Yes,popular,True,0.25
9009,YZBtgrP4vU_w,No,No,popular,True,0.25
341,YyL3gKa6YLoM,No,Yes,random,True,0.25
25862,Ygbi6MxPf3hA,Yes,Yes,random,True,0.25
13578,Y3kBlVLkN0zo,No,No,random,True,0.25
27343,YlgwpIImXCWA,Yes,No,random,True,0.25
11331,YWHRnyGXcdy8,Yes,Yes,random,True,0.25
16275,YnD1K1Zo0qrM,No,No,adversarial,True,0.25
2551,YRNBoH2LHQEM,No,No,popular,True,0.25
26337,YhqPBcvex1VU,No,No,popular,True,0.25
5646,YXL8JV9qXGLE,Yes,Yes,adversarial,True,0.25
3739,YjOYvIISk--4,Yes,Yes,random,True,0.25
23605,YtJhVH3VIrnE,Yes,No,adversarial,True,0.25
20273,YAUmY0YRAFQE,No,Yes,popular,True,0.25
29165,YmW1EpJYcy_E,Yes,No,popular,True,0.25
11096,YfYTZVxQ8LJk,Yes,Yes,random,True,0.25
14211,YhxbmDeNSO6Q,Yes,Yes,random,True,0.25
16425,YnD1K1Zo0qrM,No,No,popular,True,0.25
2587,YpaetCbEqp2w,Yes,No,popular,True,0.25
30386,YQTSKjweEWew,No,Yes,popular,True,0.25
29326,YkLYCjD6vWI4,Yes,Yes,random,True,0.25
3400,YUCy1BEx8jBE,No,Yes,adversarial,True,0.25
10797,YeUecAF626A8,No,Yes,random,True,0.25
5540,Yhzn_wGlzGpU,No,No,popular,True,0.25
24585,YWUpeplQr3A4,No,Yes,random,True,0.25
4345,YZYWCwfCkBp4,Yes,No,popular,True,0.25
19685,Y14izd_i3ryE,No,No,popular,True,0.25
12697,YB-gTt3_rceQ,No,Yes,random,True,0.25
789,Y9HVgYs8OOLc,Yes,Yes,random,True,0.25
28905,YHg6HxylRGDo,No,Yes,popular,True,0.25
18433,YlVr-PxhZo8s,Yes,No,adversarial,True,0.25
26299,Yw_Utn3CwAXE,No,No,random,True,0.25
13936,YXPebkNzsnRI,No,Yes,adversarial,True,0.25
6249,YrUq4w4EUSWA,No,Yes,adversarial,True,0.25
17059,YQ87LBiwJjTE,Yes,Yes,random,True,0.25
6434,YyhDw7PZje3g,No,No,adversarial,True,0.25
5245,YLs2vrr9TamU,Yes,Yes,popular,True,0.25
13540,YC_ga5m6nOhI,Yes,Yes,random,True,0.25
12710,YTtRtURWVYBE,Yes,Yes,adversarial,True,0.25
13876,YK2kIOBeCfuo,Yes,Yes,random,True,0.25
2890,YE6FH_xp3I54,Yes,Yes,random,True,0.25
10887,YAMQei29haCw,No,No,popular,True,0.25
23878,Y9hxFqltp3xw,Yes,Yes,adversarial,True,0.25
13604,YtIM-H2rdq8U,No,No,popular,True,0.25
28281,YK-7Y8yhcUiw,Yes,Yes,adversarial,True,0.25
16921,Y32565FEuksc,Yes,Yes,popular,True,0.25
28794,Y6dLkgq9EKPE,No,No,random,True,0.25
29475,Y--0w1YA1Hm4,No,Yes,adversarial,True,0.25
26079,YcK2kSVR1d2o,No,No,random,True,0.25
904,Y9ZZHvwaH-CU,Yes,Yes,adversarial,True,0.25
6535,Y35b9BSmN5JM,Yes,Yes,adversarial,True,0.25
3613,YKvrcRMfFzOE,Yes,Yes,adversarial,True,0.25
28925,YniwgMbB6tpQ,No,No,random,True,0.25
11320,YszkiW0GXEOI,Yes,Yes,popular,True,0.25
26116,Yj_NSuPnx5LA,Yes,No,adversarial,True,0.25
26130,YNtQiduPRiRg,No,No,popular,True,0.25
9515,Yz4MeV9IGVo0,No,Yes,popular,True,0.25
13181,Yt1hj7se76wQ,Yes,No,adversarial,True,0.25
22727,YjinJkonlrWc,Yes,No,random,True,0.25
7050,YZsf2YvJfCKw,Yes,Yes,random,True,0.25
10713,YQ3vkJMVMbC8,No,No,popular,True,0.25
26749,Y1IoHRTUp86c,No,Yes,random,True,0.25
23093,Y0yETgW44MZU,Yes,Yes,popular,True,0.25
4992,YjjfUaMQaG1A,No,Yes,adversarial,True,0.25
5336,YRp4Ct_TQvAM,Yes,Yes,random,True,0.25
11793,YQKHpSAAjakY,Yes,No,popular,True,0.25
31087,Y77nElZGi5NU,Yes,No,popular,True,0.25
820,YgbtcDoh0q3c,No,No,popular,True,0.25
27004,Yi6MQCm58zlY,Yes,Yes,popular,True,0.25
14038,YCxaPpRJRkn0,No,No,adversarial,True,0.25
8038,YL_CNz9Vrtkw,Yes,Yes,random,True,0.25
28581,Y0AsXkZkqelg,No,No,popular,True,0.25
16420,YC4JwGJQ2dUA,No,Yes,adversarial,True,0.25
17782,YBGEMgl1xjac,No,No,popular,True,0.25
21468,YFXdoNvmrYxo,Yes,No,adversarial,True,0.25
242,YYNDKuNINDOY,Yes,Yes,random,True,0.25
29068,Y4bUL_ttiOdw,Yes,No,adversarial,True,0.25
25735,Y7RMpCCkQks0,No,No,popular,True,0.25
17657,Y2UNuMbxz9ds,No,Yes,popular,True,0.25
14242,Y3fomsZXG3aM,Yes,Yes,random,True,0.25
9379,YfrOqlk0Wm5Y,No,Yes,popular,True,0.25
15915,YBzHTqyX69pI,No,Yes,random,True,0.25
6068,YGuizRlAQ8qQ,No,Yes,adversarial,True,0.25
22450,YFeHndzYAUkg,Yes,Yes,adversarial,True,0.25
5530,Y0yxEvdnimGg,Yes,Yes,adversarial,True,0.25
29568,Y7upINC4seBw,No,Yes,random,True,0.25
8423,YhuMLK0oA3L8,No,No,popular,True,0.25
1027,YArHiac57pVk,Yes,No,adversarial,True,0.25
19147,YS_3aeOvniZc,No,No,adversarial,True,0.25
20354,YAxd__X2rixk,Yes,Yes,adversarial,True,0.25
20105,Y83j4GgHXTLE,No,No,random,True,0.25
11030,YYflmW68gL4E,Yes,Yes,adversarial,True,0.25
26067,YPRUfwpmYwJ8,No,No,popular,True,0.25
2183,Ya0yXS7PmVR0,Yes,No,adversarial,True,0.25
22726,YAj_VMUSNjNM,Yes,Yes,popular,True,0.25
4733,YSE_3nszEw7o,Yes,Yes,popular,True,0.25
4942,Y4SZ7JXDCNps,No,No,random,True,0.25
8789,YMPLZUg89y5U,Yes,Yes,adversarial,True,0.25
2943,Yu9px4Lwv9XI,No,No,adversarial,True,0.25
12114,YzFzPOsOKog4,Yes,Yes,adversarial,True,0.25
13695,YMdlEswBfZMQ,Yes,Yes,popular,True,0.25
13490,YrPkCYq4Zjwk,No,Yes,popular,True,0.25
16866,YwVi5w_NU6CM,No,No,adversarial,True,0.25
16356,YQv1HXaT-28U,Yes,Yes,adversarial,True,0.25
2218,Ya0yXS7PmVR0,Yes,Yes,popular,True,0.25
13955,Ye9MWXS34o48,Yes,No,adversarial,True,0.25
13638,YGkb4f6yodPE,Yes,Yes,random,True,0.25
28459,YlgwpIImXCWA,Yes,No,popular,True,0.25
30843,Ylq9RvAA4mqY,No,Yes,popular,True,0.25
23412,YCBwXKOpJY_o,Yes,Yes,popular,True,0.25
11841,YcFHFVGOtp6g,Yes,No,random,True,0.25
3112,YUmNrhFKpWIY,Yes,Yes,random,True,0.25
29971,YS0SQyFXbqF8,No,No,popular,True,0.25
18264,Yj1AiqT5oHZc,Yes,No,adversarial,True,0.25
21930,YL6rnV0oNIII,Yes,No,adversarial,True,0.25
17181,Yi2yhbckq3p0,No,Yes,adversarial,True,0.25
5979,YrUq4w4EUSWA,No,Yes,random,True,0.25
20759,Y7_smJ8VbfSU,No,Yes,random,True,0.25
25901,YtdpiXW68adA,No,Yes,random,True,0.25
29051,Y7bO0AJI-ihs,No,No,adversarial,True,0.25
19530,YIsUG5SKWNZA,No,Yes,adversarial,True,0.25
26081,YObWjGBJF_94,Yes,No,popular,True,0.25
18545,Ycz0FSQDVBMw,Yes,Yes,random,True,0.25
13487,YgwQMkQmBITE,Yes,Yes,random,True,0.25
1658,YFA11v4SmdBc,No,No,adversarial,True,0.25
12066,YqPYwp1K4sZE,No,Yes,random,True,0.25
25423,Y3rna9zo5ZOs,Yes,Yes,popular,True,0.25
12618,YptIksg9KEac,Yes,Yes,popular,True,0.25
18393,YwOFBldBFRNk,No,Yes,random,True,0.25
30095,YAUJPx81qKtY,Yes,Yes,popular,True,0.25
21436,YFlk-X0gwjF4,Yes,Yes,random,True,0.25
6153,YoOMtaqvQ3_M,Yes,Yes,popular,True,0.25
27867,Y4ftDFi4684Y,No,No,popular,True,0.25
29708,Yc3nlaAkv9bA,No,Yes,popular,True,0.25
23019,YKJhGuhNHToA,No,No,adversarial,True,0.25
